species,latitude,longitude
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.388498,32.27119
phytopathogens,-17.25357602,32.44865977
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.25357602,32.44865977
phytopathogens,-17.25069503,32.45173158
phytopathogens,-17.25069503,32.45173158
phytopathogens,-17.27651214,32.47427747
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.388498,32.27119
phytopathogens,-17.388498,32.27119
phytopathogens,-17.393002,32.28634
phytopathogens,-17.25357602,32.44865977
phytopathogens,-17.27651214,32.47427747
phytopathogens,-17.25069503,32.45173158
phytopathogens,-17.27651214,32.47427747
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.27029793,32.47876047
phytopathogens,-17.393002,32.28634
phytopathogens,-17.25357602,32.44865977
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.27029793,32.47876047
phytopathogens,-17.27651214,32.47427747
phytopathogens,-17.27651214,32.47427747
phytopathogens,-17.27029793,32.47876047
phytopathogens,-17.27029793,32.47876047
phytopathogens,-17.393002,32.28634
phytopathogens,-17.25357602,32.44865977
phytopathogens,-17.25357602,32.44865977
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.278127,32.4727096
phytopathogens,-17.25069503,32.45173158
phytopathogens,-17.27651214,32.47427747
phytopathogens,-17.3797557,32.2860014
phytopathogens,-17.3885185,32.2893514
phytopathogens,-17.3885185,32.2893514
phytopathogens,-17.25069503,32.45173158
phytopathogens,-17.27029793,32.47876047
phytopathogens,-17.3885185,32.2893514
phytopathogens,-17.3769811,32.0905746
phytopathogens,-17.3731075,32.0882039
phytopathogens,-17.3775684,32.081717
phytopathogens,-17.3749731,32.0729173
phytopathogens,-17.3708898,32.0706857
phytopathogens,-17.3752474,32.0698507
phytopathogens,-17.3777915,32.0709944
phytopathogens,-17.3808337,32.0692557
phytopathogens,-17.3994885,32.0768545
phytopathogens,-17.398925,32.0738917
phytopathogens,-17.4037311,32.0683509
phytopathogens,-17.4021896,32.066727
phytopathogens,-17.4008862,32.0781013
phytopathogens,-17.4009792,32.0728461
phytopathogens,-17.4117338,32.1046959
phytopathogens,-17.4003218,32.0708983
phytopathogens,-17.4134734,32.1037996
phytopathogens,-17.4041584,32.065735
phytopathogens,-17.414465,32.1059174
phytopathogens,-17.40505,32.0635597
phytopathogens,-17.403358,32.1040147
phytopathogens,-17.4074912,32.1037663
phytopathogens,-17.4074243,32.1083971
phytopathogens,-17.4100106,32.1047941
phytopathogens,-17.4056044,32.1049952
phytopathogens,-17.2844284,32.3830511
phytopathogens,-17.2908589,32.3728344
phytopathogens,-17.2868015,32.3757596
phytopathogens,-17.28627,32.3770816
phytopathogens,-17.2859103,32.3739788
phytopathogens,-17.2845975,32.3755134
phytopathogens,-17.2806855,32.3746425
phytopathogens,-17.2903552,32.3766156
phytopathogens,-17.2977498,32.350434
phytopathogens,-17.2900584,32.3707573
phytopathogens,-17.2999347,32.3404028
phytopathogens,-17.2989642,32.3391088
phytopathogens,-17.3009783,32.3436012
phytopathogens,-17.300076,32.3419938
phytopathogens,-17.2968882,32.346246
phytopathogens,-17.295121,32.3784627
phytopathogens,-17.2925181,32.3773096
phytopathogens,-17.2986291,32.3393062
phytopathogens,-17.2923157,32.3824458
phytopathogens,-17.2952755,32.3755875
phytopathogens,-17.2927705,32.3785323
phytopathogens,-17.2934012,32.3784865
phytopathogens,-17.291623,32.380739
phytopathogens,-17.2946,32.3799111
phytopathogens,-17.3038893,32.3316826
phytopathogens,-17.4032448,32.0688406
phytopathogens,-17.4029112,32.0745728
phytopathogens,-17.4077617,32.0757897
phytopathogens,-18.121179,29.0722621
phytopathogens,-18.0980275,29.0501293
phytopathogens,-18.116007,29.0587331
phytopathogens,-18.1137468,29.0632329
phytopathogens,-18.1125368,29.0692518
phytopathogens,-18.1138134,29.066739
phytopathogens,-18.1201889,29.0549118
phytopathogens,-18.1191097,29.0620212
phytopathogens,-18.1188807,29.0622985
phytopathogens,-18.117915,29.0533602
phytopathogens,-18.1219693,29.1146701
